dt,bend_num_nft_liq,nftfi_num_nft_liq,pine_num_nft_liq,arcade_num_nft_liq,jpegd_num_nft_liq,drops_num_nft_liq,x2y2_num_nft_liq,total_liq,bend_cumu_nft_liq,nftfi_cumu_nft_liq,pine_cumu_nft_liq,arcade_cumu_nft_liq,jpegd_cumu_nft_liq,drops_cumu_nft_liq,x2y2_cumu_nft_liq
2022-11-18 00:00,0,56,0,0,0,0,0,56,163,2951,71,25,5,18,59
2022-11-18 00:00,0,0,0,0,0,0,2,2,163,2895,71,25,5,18,59
2022-11-17 00:00,0,0,0,0,0,0,2,2,163,2840,71,25,5,18,57
2022-11-17 00:00,0,55,0,0,0,0,0,55,163,2895,71,25,5,18,57
2022-11-16 00:00,3,54,0,1,0,0,2,60,163,2840,71,25,5,18,55
2022-11-15 00:00,19,51,0,0,0,0,3,73,160,2786,71,24,5,18,53
2022-11-14 00:00,1,39,0,1,0,0,8,49,141,2735,71,24,5,18,50
2022-11-13 00:00,0,54,0,0,0,0,0,54,140,2696,71,23,5,18,42
2022-11-13 00:00,0,0,0,0,0,0,7,7,140,2642,71,23,5,18,42
2022-11-12 00:00,5,72,0,2,0,0,3,82,140,2642,71,23,5,18,35
2022-11-11 00:00,9,53,0,0,0,2,2,66,135,2570,71,21,5,18,32
2022-11-10 00:00,0,0,0,0,0,1,0,1,126,2431,71,21,5,16,30
2022-11-10 00:00,0,86,0,0,0,0,0,86,126,2517,71,21,5,16,30
2022-11-10 00:00,0,0,0,0,0,0,3,3,126,2431,71,21,5,15,30
2022-11-09 00:00,0,100,0,0,0,0,0,100,126,2431,71,21,5,15,27
2022-11-08 00:00,0,112,0,0,0,0,0,112,126,2331,71,21,5,15,27
2022-11-07 00:00,0,0,0,0,0,0,2,2,126,2219,71,21,5,15,27
2022-11-07 00:00,0,0,0,1,0,0,0,1,126,2219,71,21,5,15,25
2022-11-07 00:00,0,78,0,0,0,0,0,78,126,2219,71,20,5,15,25
2022-11-06 00:00,0,0,0,0,0,1,0,1,126,2141,71,19,5,15,25
2022-11-06 00:00,0,0,0,1,0,0,0,1,126,2141,71,20,5,15,25
2022-11-06 00:00,0,67,0,0,0,0,0,67,126,2141,71,19,5,14,25
2022-11-05 00:00,0,0,0,0,0,0,3,3,126,2074,71,19,5,14,25
2022-11-05 00:00,0,54,0,0,0,0,0,54,126,2074,71,19,5,14,22
2022-11-04 00:00,0,73,0,0,0,0,0,73,126,2020,71,19,5,14,22
2022-11-04 00:00,0,0,0,0,0,0,2,2,126,1947,71,19,5,14,22
2022-11-03 00:00,1,74,0,0,0,0,3,78,126,1947,71,19,5,14,20
2022-11-02 00:00,1,49,0,0,0,0,2,52,125,1873,71,19,5,14,17
2022-11-01 00:00,1,101,0,0,0,0,0,102,124,1824,71,19,5,14,15
2022-10-31 00:00,11,148,0,0,0,0,1,160,123,1723,71,19,5,14,15
2022-10-30 00:00,0,100,0,0,0,0,0,100,112,1575,71,19,5,14,14
2022-10-30 00:00,0,0,0,0,0,0,2,2,112,1475,71,19,5,14,14
2022-10-29 00:00,0,0,0,0,0,1,0,1,112,1475,71,19,5,14,11
2022-10-29 00:00,0,0,0,0,0,0,1,1,112,1475,71,19,5,14,12
2022-10-29 00:00,0,97,0,0,0,0,0,97,112,1475,71,19,5,13,11
2022-10-28 00:00,0,55,0,0,0,0,0,55,112,1378,71,19,5,13,11
2022-10-28 00:00,0,0,0,0,0,0,2,2,112,1323,71,19,5,13,11
2022-10-27 00:00,0,0,0,0,0,0,3,3,112,1323,71,19,5,13,9
2022-10-27 00:00,0,178,0,0,0,0,0,178,112,1323,71,19,5,13,6
2022-10-26 00:00,0,73,0,0,0,0,0,73,112,1145,71,18,5,13,6
2022-10-26 00:00,0,0,0,1,0,0,0,1,112,1145,71,19,5,13,6
2022-10-25 00:00,0,0,0,0,0,0,3,3,112,1072,71,18,5,13,6
2022-10-25 00:00,0,76,0,0,0,0,0,76,112,1072,71,18,5,13,3
2022-10-24 00:00,0,73,0,0,0,0,0,73,112,996,71,18,5,13,3
2022-10-23 00:00,0,54,0,0,0,0,0,54,112,923,71,18,5,13,3
2022-10-22 00:00,0,42,0,0,0,0,0,42,112,869,71,18,5,13,3
2022-10-21 00:00,0,0,0,0,0,0,1,1,112,809,71,17,5,13,3
2022-10-21 00:00,0,18,0,0,0,0,0,18,112,827,71,18,5,13,3
2022-10-21 00:00,0,0,0,1,0,0,0,1,112,809,71,18,5,13,3
2022-10-20 00:00,0,0,0,0,0,0,1,1,112,809,71,17,5,13,2
2022-10-18 00:00,0,0,0,2,0,0,0,2,112,809,71,17,5,13,1
2022-10-18 00:00,0,2,0,0,0,0,0,2,112,809,71,15,5,13,1
2022-10-17 00:00,0,0,0,0,0,0,1,1,112,807,71,15,5,13,1
2022-10-16 00:00,0,0,0,1,0,0,0,1,112,807,71,15,5,13,0
2022-10-09 00:00,0,0,0,0,0,1,0,1,112,807,71,14,5,13,0
2022-10-05 00:00,0,1,0,0,0,0,0,1,112,807,71,14,5,12,0
2022-09-22 00:00,0,1,0,0,0,0,0,1,112,806,71,14,5,12,0
2022-09-20 00:00,0,0,0,1,0,0,0,1,112,805,71,14,5,12,0
2022-09-13 00:00,1,0,0,0,0,0,0,1,112,805,71,13,5,12,0
2022-09-12 00:00,4,0,0,0,0,1,0,5,111,805,71,13,5,12,0
2022-09-11 00:00,6,0,0,0,0,0,0,6,107,805,71,13,5,11,0
2022-09-10 00:00,19,0,0,0,0,0,0,19,101,805,71,13,5,11,0
2022-09-09 00:00,9,0,0,0,0,1,0,10,82,805,71,13,5,11,0
2022-09-08 00:00,2,0,0,0,0,0,0,2,73,805,71,13,5,10,0
2022-09-07 00:00,7,0,0,0,0,0,0,7,71,805,71,13,5,10,0
2022-09-06 00:00,0,1,0,0,0,0,0,1,64,805,71,13,5,10,0
2022-09-05 00:00,0,0,2,0,0,0,0,2,64,804,71,13,5,10,0
2022-09-03 00:00,1,0,0,0,0,1,0,2,64,804,69,13,5,10,0
2022-09-01 00:00,1,0,0,0,0,0,0,1,63,804,69,13,5,9,0
2022-08-27 00:00,0,0,1,0,0,0,0,1,62,804,69,13,5,9,0
2022-08-26 00:00,4,0,0,0,0,0,0,4,62,804,68,13,5,9,0
2022-08-25 00:00,10,1,0,0,0,0,0,11,58,804,68,13,5,9,0
2022-08-24 00:00,5,0,0,1,0,0,0,6,48,803,68,13,5,9,0
2022-08-23 00:00,7,0,0,1,0,0,0,8,43,803,68,12,5,9,0
2022-08-22 00:00,3,1,0,0,0,1,0,5,36,803,68,11,5,9,0
2022-08-21 00:00,10,0,0,1,0,1,0,12,33,802,68,11,5,8,0
2022-08-19 00:00,5,0,0,0,0,0,0,5,23,802,68,10,5,7,0
2022-08-18 00:00,2,0,0,0,0,0,0,2,18,802,68,10,5,7,0
2022-08-17 00:00,2,0,0,0,0,0,0,2,16,802,68,10,5,7,0
2022-08-16 00:00,2,0,0,0,0,0,0,2,14,802,68,10,5,7,0
2022-08-15 00:00,0,0,0,0,0,1,0,1,12,802,68,10,5,7,0
2022-08-13 00:00,0,0,0,0,0,1,0,1,12,802,68,10,5,6,0
2022-08-11 00:00,2,0,0,0,0,1,0,3,12,802,68,10,5,5,0
2022-08-10 00:00,1,0,55,0,0,0,0,56,10,802,68,10,5,4,0
2022-08-09 00:00,1,0,0,0,0,0,0,1,9,802,13,10,5,4,0
